aveQtyPerPurchase,medHitTotal,medPageView,medRevenuePerSess,medTimeBtwnSess,minTimeBtwnSess,numOfSess,percentSessWithPurchase
286.611111111,639.0,-85.0,2276.155,2065.77777778,3840.0,-655.0,2284.155
147.0,471.0,-115.0,143.22,1088.5,2832.0,-880.0,151.22
126.0,225.0,-152.5,38.5,941.5,1356.0,-1161.25,46.5
126.0,297.0,-145.0,38.5,941.5,1788.0,-1105.0,46.5
126.0,333.0,-145.0,38.5,941.5,2004.0,-1105.0,46.5
140.0,531.0,-122.5,691.88,1039.5,3192.0,-936.25,699.88
126.0,261.0,-145.0,38.5,941.5,1572.0,-1105.0,46.5
168.0,687.0,-92.5,89.25,1235.5,4128.0,-711.25,97.25
133.0,309.0,-145.0,992.53,990.5,1860.0,-1105.0,1000.53
129.5,420.0,-133.75,49.315,966.0,2526.0,-1020.625,57.315
126.0,231.0,-145.0,38.5,941.5,1392.0,-1105.0,46.5
177.333333333,621.0,-92.5,30517.97,1300.83333333,3732.0,-711.25,30525.97
151.666666667,369.0,-137.5,543.62,1121.16666667,2220.0,-1048.75,551.62
224.875,789.0,-62.5,1052.52,1633.625,4740.0,-486.25,1060.52
140.0,363.0,-137.5,652.505,1039.5,2184.0,-1048.75,660.505
133.0,363.0,-137.5,194.04,990.5,2184.0,-1048.75,202.04
135.333333333,855.0,-55.0,3544.87,1006.83333333,5136.0,-430.0,3552.87
126.0,261.0,-137.5,38.5,941.5,1572.0,-1048.75,46.5
126.0,801.0,-55.0,38.5,941.5,4812.0,-430.0,46.5
154.0,1275.0,5.0,1031.03,1137.5,7656.0,20.0,1039.03
126.0,255.0,-160.0,38.5,941.5,1536.0,-1217.5,46.5
126.0,585.0,-107.5,38.5,941.5,3516.0,-823.75,46.5
126.0,465.0,-122.5,38.5,941.5,2796.0,-936.25,46.5
133.0,405.0,-130.0,680.82,990.5,2436.0,-992.5,688.82
168.0,411.0,-137.5,758.8,1235.5,2472.0,-1048.75,766.8
133.0,411.0,-137.5,1857.73,990.5,2472.0,-1048.75,1865.73
416.5,525.0,-115.0,11883.515,2975.0,3156.0,-880.0,11891.515
252.0,1281.0,12.5,19973.1,1823.5,7692.0,76.25,19981.1
126.0,423.0,-137.5,38.5,941.5,2544.0,-1048.75,46.5
133.0,435.0,-115.0,120.54,990.5,2616.0,-880.0,128.54
126.0,219.0,-152.5,38.5,941.5,1320.0,-1161.25,46.5
126.0,417.0,-122.5,38.5,941.5,2508.0,-936.25,46.5
126.0,276.0,-152.5,38.5,941.5,1662.0,-1161.25,46.5
168.0,366.0,-133.75,1720.81,1235.5,2202.0,-1020.625,1728.81
126.0,615.0,-115.0,38.5,941.5,3696.0,-880.0,46.5
270.2,513.0,-115.0,1286.32,1950.9,3084.0,-880.0,1294.32
129.5,318.0,-141.25,2754.605,966.0,1914.0,-1076.875,2762.605
126.0,399.0,-115.0,38.5,941.5,2400.0,-880.0,46.5
128.333333333,279.0,-145.0,38.5,957.833333333,1680.0,-1105.0,46.5
126.0,1143.0,12.5,38.5,941.5,6864.0,76.25,46.5
133.0,1293.0,-10.0,1097.18,990.5,7764.0,-92.5,1105.18
126.0,243.0,-160.0,38.5,941.5,1464.0,-1217.5,46.5
126.0,516.0,-62.5,38.5,941.5,3102.0,-486.25,46.5
133.0,339.0,-100.0,1261.82,990.5,2040.0,-767.5,1269.82
126.0,819.0,-62.5,38.5,941.5,4920.0,-486.25,46.5
126.0,234.0,-156.25,38.5,941.5,1410.0,-1189.375,46.5
359.333333333,975.0,-32.5,6451.62,2574.83333333,5856.0,-261.25,6459.62
224.0,1047.0,-47.5,14624.82,1627.5,6288.0,-373.75,14632.82
490.0,531.0,-115.0,15935.5,3489.5,3192.0,-880.0,15943.5
182.0,381.0,-137.5,352.94,1333.5,2292.0,-1048.75,360.94
189.0,465.0,-2.5,1098.16,1382.5,2796.0,-36.25,1106.16
126.0,312.0,-145.0,38.5,941.5,1878.0,-1105.0,46.5
126.0,1017.0,102.5,38.5,941.5,6108.0,751.25,46.5
126.0,393.0,-122.5,38.5,941.5,2364.0,-936.25,46.5
143.5,531.0,-100.0,3463.355,1064.0,3192.0,-767.5,3471.355
126.0,243.0,-137.5,38.5,941.5,1464.0,-1048.75,46.5
185.888888889,375.0,-137.5,38.5,1360.72222222,2256.0,-1048.75,46.5
301.777777778,501.0,-137.5,7287.595,2171.94444444,3012.0,-1048.75,7295.595
126.0,291.0,-137.5,38.5,941.5,1752.0,-1048.75,46.5
136.5,369.0,-137.5,8471.925,1015.0,2220.0,-1048.75,8479.925
203.0,471.0,-115.0,119.49,1480.5,2832.0,-880.0,127.49
